date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2018-06-23,1908,FIFA World Cup,Germany,Sweden,89.87,74.41,0.583,0.1778,0.2391,1.93,0.96,,,,,,,,
2018-06-24,1908,FIFA World Cup,England,Panama,83.76,55.52,0.7574,0.0538,0.1889,2.04,0.36,,,,,,,,
2018-06-24,1908,FIFA World Cup,Japan,Senegal,73.52,66.96,0.4082,0.297,0.2948,1.36,1.11,,,,,,,,
2018-06-24,1908,FIFA World Cup,Poland,Colombia,72.37,79.03,0.2924,0.4205,0.2871,1.15,1.43,,,,,,,,
2018-06-25,1908,FIFA World Cup,Uruguay,Russia,79.7,72.58,0.3532,0.3523,0.2945,1.26,1.26,,,,,,,,
2018-06-25,1908,FIFA World Cup,Saudi Arabia,Egypt,48.84,61.61,0.2293,0.4862,0.2845,0.95,1.51,,,,,,,,
2018-06-25,1908,FIFA World Cup,Iran,Portugal,66.14,83.75,0.1407,0.5793,0.28,0.6,1.53,,,,,,,,
2018-06-25,1908,FIFA World Cup,Spain,Morocco,91.39,71.27,0.6651,0.1141,0.2208,1.99,0.68,,,,,,,,
2018-06-26,1908,FIFA World Cup,Australia,Peru,63.58,71.65,0.2611,0.4544,0.2845,1.06,1.49,,,,,,,,
2018-06-26,1908,FIFA World Cup,Denmark,France,73.31,86.49,0.2037,0.5402,0.2562,0.99,1.77,,,,,,,,
2018-06-26,1908,FIFA World Cup,Iceland,Croatia,67.61,83.3,0.1802,0.5711,0.2487,0.92,1.83,,,,,,,,
2018-06-26,1908,FIFA World Cup,Nigeria,Argentina,69.03,85.51,0.1652,0.5555,0.2793,0.71,1.55,,,,,,,,
2018-06-27,1908,FIFA World Cup,Mexico,Sweden,76.67,74.41,0.3378,0.3649,0.2973,1.21,1.26,,,,,,,,
2018-06-27,1908,FIFA World Cup,South Korea,Germany,59.09,89.87,0.0488,0.8141,0.1371,0.5,2.63,,,,,,,,
2018-06-27,1908,FIFA World Cup,Switzerland,Costa Rica,78.9,63.35,0.5649,0.1731,0.2621,1.7,0.82,,,,,,,,
2018-06-27,1908,FIFA World Cup,Serbia,Brazil,73.69,92.77,0.1319,0.6313,0.2368,0.71,1.87,,,,,,,,
2018-06-28,1908,FIFA World Cup,Senegal,Colombia,66.96,79.03,0.2134,0.4782,0.3084,0.79,1.34,,,,,,,,
2018-06-28,1908,FIFA World Cup,Japan,Poland,73.52,72.37,0.3479,0.3849,0.2672,1.45,1.54,,,,,,,,
2018-06-28,1908,FIFA World Cup,Panama,Tunisia,55.52,59.92,0.3113,0.3864,0.3024,1.11,1.27,,,,,,,,
2018-06-28,1908,FIFA World Cup,England,Belgium,83.76,85.87,0.3494,0.3625,0.2881,1.29,1.32,,,,,,,,
